uniprot.id	protein.names	Protein.IDs	Gene.names.SINGLE	logP	q.value
Q5TIH2	Vesicle transport protein SFT2B	Q5TIH2;O95562	SFT2D2	1.44403824	0.088647211
O95747	Serine/threonine-protein kinase OSR1	O95747;C9JIG9;Q9UEW8-2;Q9UEW8	OXSR1	1.674264719	0.058147587
O95782-2	AP-2 complex subunit alpha-1	O95782-2;O95782	AP2A1	4.381965235	0.000375966
O95831-3	Apoptosis-inducing factor 1, mitochondrial	O95831-3;O95831;E9PMA0;O95831-5;O95831-2;O95831-6;O95831-4	AIFM1	3.644228132	0.001530094
P00367	Glutamate dehydrogenase 1, mitochondrial;Glutamate dehydrogenase 2, mitochondrial	P00367;P00367-2;P00367-3;P49448	GLUD1	3.636402022	0.001546461
P00387-2	NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form	P00387-2;P00387;P00387-3;B1AHF3	CYB5R3	3.665092746	0.001480252
P00395	Cytochrome c oxidase subunit 1	P00395	MT-CO1	5.947882803	2.23e-05
P00403	Cytochrome c oxidase subunit 2	P00403	MT-CO2	2.115217402	0.025301919
P00505-2	Aspartate aminotransferase, mitochondrial	P00505-2;P00505	GOT2	4.386782282	0.000373678
P00748	Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain	P00748	F12	0.017744609	0.97932562
P00918	Carbonic anhydrase 2	P00918;E5RID5;E5RK37	CA2	2.45181489	0.013517242
P01019	Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4	P01019	AGT	1.881158679	0.039572719
P01040	Cystatin-A;Cystatin-A, N-terminally processed	P01040	CSTA	3.177476871	0.003487415
P01703	Ig lambda chain V-I region NEWM	P01703		1.924750869	0.036456304
P01706	Ig lambda chain V-II region BOH	P01706		0.947729995	0.212619369
P01730	T-cell surface glycoprotein CD4	P01730	CD4	1.71824612	0.053680819
P01767	Ig heavy chain V-III region BUT	P01767		3.015072544	0.004653134
P01780	Ig heavy chain V-III region JON;Ig heavy chain V-III region TRO	P01780;P01762;A0A075B7F0;A0A0J9YVY3;A0A0C4DH32;P0DP04;A0A0B4J1X8;P01766	IGHV3OR16-10	0.151288585	0.802340747
P01876	Ig alpha-1 chain C region;Ig alpha-2 chain C region	P01876;A0A0G2JMB2;P01877	IGHA1	0.179855156	0.765600571
P02042	Hemoglobin subunit delta	P02042;E9PFT6	HBD	14.5575609	5.04e-12
P02100	Hemoglobin subunit epsilon	P02100;A8MUF7	HBE1	0.797877214	0.279136857
P02549	Spectrin alpha chain, erythrocytic 1	P02549;P02549-2;V9GY79;J3KNF5;O15078-2;O15078	SPTA1	3.103381281	0.00401045
P02730	Band 3 anion transport protein	P02730;P02730-2;A0A0A0MS98	SLC4A1	3.070915513	0.004260767
P02748	Complement component C9;Complement component C9a;Complement component C9b	P02748;CON__Q3MHN2	C9	NA	NA
P04080	Cystatin-B	P04080;A0A1W2PS52	CSTB	2.601384124	0.01024627
P04114	Apolipoprotein B-100;Apolipoprotein B-48	P04114;A8MUN2;CON__ENSEMBL:ENSBTAP00000032840	APOB	1.835355154	0.042841354
P04181	Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form	P04181;P04181-2	OAT	7.300217878	2.03e-06
P04220	Ig mu heavy chain disease protein	P04220		0.429890103	0.510744813
P01911	HLA class II histocompatibility antigen, DRB1-1 beta chain;HLA class II histocompatibility antigen, DRB1-16 beta chain;HLA class II histocompatibility antigen, DRB1-4 beta chain;HLA class II histocompatibility antigen, DR beta 5 chain	P04229;Q29974;P13760;Q30154;A0A182DWH4;Q30167	HLA-DRB1	2.802227138	0.006918863
P04839	Cytochrome b-245 heavy chain	P04839;Q5H9D4;Q9Y5S8-2;Q9Y5S8-3;Q9Y5S8	CYBB	4.649383623	0.000224313
P04899	Guanine nucleotide-binding protein G(i) subunit alpha-2	P04899;P04899-4;P04899-6;P04899-3;P04899-5;P04899-2;P09471-2;P19087;P11488;P09471;A8MTJ3;A0A1W2PRE1;A2A2R6;A0A1W2PQK2;A0A087WTB6;Q5JWD1;H0Y7E8;A0A1W2PRJ7;A0A087WZE5;F8WE78;A0A1W2PS82;H3BTM2;A0A1W2PP38;F5H658	GNAI2	3.996408876	0.000785194
P04921-2	Glycophorin-C	P04921-2;P04921-3;P04921;A0A0J9YYA0;A0A0J9YWG3;B7Z1Y6;A0A1W2PQF4;Q9UHC6-2	GYPC	1.060945511	0.173528014
P05089	Arginase-1	P05089;P05089-2;P05089-3	ARG1	10.36489188	1.01e-08
P05107	Integrin beta-2;Integrin beta	P05107;J3KNI6;E7EVZ9	ITGB2	5.969092417	2.15e-05
P05109	Protein S100-A8;Protein S100-A8, N-terminally processed	P05109	S100A8	6.22614535	1.42e-05
P05141	ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed	P05141;Q9H0C2	SLC25A5	4.22743022	0.000511208
P05164-2	Myeloperoxidase;Myeloperoxidase;89 kDa myeloperoxidase;84 kDa myeloperoxidase;Myeloperoxidase light chain;Myeloperoxidase heavy chain	P05164-2;P05164;P05164-3;J3QSF7;F5H386;P22079-2;P22079	MPO	3.965043207	0.000825789
P05186	Alkaline phosphatase, tissue-nonspecific isozyme	P05186;P05186-3;P05186-2;B1ANL0;REV__Q86WI3-3;REV__Q86WI3-2;REV__Q86WI3-5;REV__Q86WI3-6;REV__Q86WI3-4;REV__Q86WI3	ALPL	8.932974509	1.52e-07
P05198	Eukaryotic translation initiation factor 2 subunit 1	P05198;H0YJS4;G3V4T5	EIF2S1	1.25234304	0.122502175
P06576	ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta	P06576;H0YH81;F8W079;F8W0P7;H0YI37	ATP5B	4.806209343	0.00016835
P06702	Protein S100-A9	P06702	S100A9	6.184385591	1.53e-05
R4GN98	Protein S100;Protein S100-A6	R4GN98;P06703	S100A6	3.207005655	0.003325258
P06737-2	Glycogen phosphorylase, liver form;Alpha-1,4 glucan phosphorylase	P06737-2;P06737;E9PK47	PYGL	1.9866276	0.032434244
P06756-3	Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain	P06756-3;P06756-2;P06756	ITGAV	3.173930124	0.003501748
P07954-2	Fumarate hydratase, mitochondrial	P07954-2;P07954	FH	4.160983295	0.000573961
P08133	Annexin A6;Annexin	P08133;P08133-2;E7EMC6;E5RK63;E5RJF5;E5RFF0;E5RI05;E5RIU8;E5RJR0	ANXA6	3.115852699	0.003917484
P08311	Cathepsin G	P08311	CTSG	8.285192353	4.72e-07
P08473	Neprilysin	P08473;C9JR96;C9IYX7;C9J9X7	MME	2.798429482	0.006946154
P08559-3	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	P08559-3;P08559;P08559-2;P08559-4;Q5JPU3;Q5JPU0;Q5JPT9;Q5JPU1;P29803;Q5JPU2	PDHA1	8.760151164	1.86e-07
P08571	Monocyte differentiation antigen CD14;Monocyte differentiation antigen CD14, urinary form;Monocyte differentiation antigen CD14, membrane-bound form	P08571;D6RFL4	CD14	2.539435816	0.011431844
P08574	Cytochrome c1, heme protein, mitochondrial	P08574	CYC1	6.341362837	1.12e-05
P08708	40S ribosomal protein S17	P08708;H0YN73;H0YN88;A0A075B716;H3BNC9	RPS17	3.148294611	0.003687298
P09669	Cytochrome c oxidase subunit 6C	P09669	COX6C	7.118759123	2.72e-06
P09769	Tyrosine-protein kinase Fgr	P09769;Q5TGY6	FGR	3.954352491	0.000842842
P09960	Leukotriene A-4 hydrolase	P09960;P09960-4;P09960-2;P09960-3;B4DEH5	LTA4H	4.508399852	0.000298847
P0DP08		P0DP08		1.02517129	0.183988966
P10114	Ras-related protein Rap-2a	P10114;F6U784	RAP2A	7.482573785	1.58e-06
P10606	Cytochrome c oxidase subunit 5B, mitochondrial	P10606	COX5B	2.187037132	0.022377787
P10809	60 kDa heat shock protein, mitochondrial	P10809;E7ESH4;E7EXB4;P10809-2;C9JL25;C9JL19;C9JCQ4;C9J0S9	HSPD1	2.218996	0.021150011
P11166	Solute carrier family 2, facilitated glucose transporter member 1	P11166;A0A0D9SG74;A0A0D9SFK9;A6NL68	SLC2A1	3.038866818	0.004476104
P11168	Solute carrier family 2, facilitated glucose transporter member 2	P11168;P11168-2;C9J0E8;A0A0C4DH64	SLC2A2	9.035223805	1.29e-07
P11177-3	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	P11177-3;P11177-2;P11177;F8WF02;C9J634	PDHB	5.610892741	4.02e-05
P11215	Integrin alpha-M	P11215;P11215-2;H3BMV4;Q13349	ITGAM	5.648171312	3.79e-05
P11277	Spectrin beta chain, erythrocytic	P11277;P11277-2;P11277-3;H0YJE6;E9PJZ2	SPTB	3.103233811	0.00401045
P11279-2	Lysosome-associated membrane glycoprotein 1	P11279-2;P11279	LAMP1	5.445223911	5.23e-05
P11678	Eosinophil peroxidase;Eosinophil peroxidase light chain;Eosinophil peroxidase heavy chain	P11678	EPX	4.419148989	0.000355735
P11908	Ribose-phosphate pyrophosphokinase 2	P11908;P11908-2;A6NMS2;D3YTJ7	PRPS2	2.461589546	0.013272174
P12110	Collagen alpha-2(VI) chain	P12110;P12110-3;P12110-2;C9JH44	COL6A2	2.050144509	0.028664806
P12236	ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed;ADP/ATP translocase 1	P12236;P12235;V9GYG0	SLC25A6	3.401678566	0.002344664
P12318-2	Low affinity immunoglobulin gamma Fc region receptor II-a	P12318-2;P12318;V9GY55;V9GY83;H0YGT0;F5GXY9;F5GX41;A0A087WXE5	FCGR2A	2.295084961	0.018269951
P12429	Annexin A3;Annexin	P12429;D6RA82;D6RFG5;D6RCA8;D6RAZ8;D6RFJ9	ANXA3	1.875516105	0.039761614
P12724	Eosinophil cationic protein	P12724	RNASE3	1.865550478	0.040353792
P13010	X-ray repair cross-complementing protein 5	P13010;C9JZ81	XRCC5	3.049452865	0.004391929
P13073	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	P13073;H3BN72;H3BNV9;Q86WV2;H3BPG0;H3BNI5	COX4I1	4.155197297	0.000576395
P13473-2	Lysosome-associated membrane glycoprotein 2	P13473-2;P13473;P13473-3;H0YCG2	LAMP2	3.919511544	0.000894607
P13498	Cytochrome b-245 light chain	P13498	CYBA	4.352443887	0.000396493
P13533	Myosin-6;Myosin-7	P13533;P12883	MYH6	4.402499239	0.000364037
P13688-6	Carcinoembryonic antigen-related cell adhesion molecule 1	P13688-6;P13688-5;P13688;P13688-7;P13688-3;P13688-4;P13688-11;P13688-9;P13688-2;P13688-8;P13688-10;M0R2K4;M0R109	CEACAM1	4.163997474	0.000572606
P13796	Plastin-2	P13796;Q5TBN3;P13796-2;Q5TBN5;U3KQI3;C9JAM8;Q14651	LCP1	3.983774339	0.000803581
P14209	CD99 antigen	P14209;A0A096LP69;P14209-3;A8MQT7;P14209-2	CD99	0.243954609	0.689951935
P14550	Alcohol dehydrogenase [NADP(+)]	P14550;Q5T621	AKR1A1	3.252194492	0.003087461
P14555	Phospholipase A2, membrane associated	P14555	PLA2G2A	3.459893318	0.00210521
P14780	Matrix metalloproteinase-9;67 kDa matrix metalloproteinase-9;82 kDa matrix metalloproteinase-9	P14780	MMP9	6.878206112	4.3e-06
P14923	Junction plakoglobin	P14923;C9JTX4;C9J826;C9JK18;C9JKY1	JUP	0.597251076	0.39076313
P15144	Aminopeptidase N	P15144;H0YMC1	ANPEP	4.416868453	0.000355783
P15531	Nucleoside diphosphate kinase A	P15531;P15531-2	NME1	1.294072472	0.113670127
P16157	Ankyrin-1	P16157;P16157-8;P16157-12;P16157-14;P16157-16;P16157-3;P16157-10;P16157-2;H0YAY8;Q12955-5;Q12955-4;Q12955;A0A087X0B4;B7Z651;A0A0U1RQN6;D6RHE1;E9PHW9;I6L894;P16157-23;Q12955-7;Q01484-5;Q01484-2;Q01484;D6RHY3;P16157-19;P16157-22	ANK1	3.620923527	0.001590874
P16157-4	Ankyrin-1	P16157-4;P16157-9;P16157-13;P16157-15;P16157-7;P16157-11;H0YBS0	ANK1	2.691752116	0.008591729
P16157-5	Ankyrin-1	P16157-5;P16157-21;Q6PK32	ANK1	3.659647923	0.001493313
P16452	Erythrocyte membrane protein band 4.2	P16452;P16452-2;P16452-3;F5H563;H3BTE6;H3BPV8;H3BUR1	EPB42	3.059606559	0.004349211
P16615-5	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	P16615-5;P16615-2;P16615-3;P16615-4;P16615;H7C5W9;O14983-3;O14983-2;O14983;J3QSY6	ATP2A2	2.931602575	0.005422987
P17174-2	Aspartate aminotransferase, cytoplasmic	P17174-2;P17174	GOT1	4.553133453	0.000275426
P17213	Bactericidal permeability-increasing protein	P17213;H0Y738;A0A0D9SFX6	BPI	5.015848478	0.000113274
P17813-2	Endoglin	P17813-2;P17813;F5GX88	ENG	3.541213079	0.001799716
P17931	Galectin-3;Galectin	P17931;G3V3R6	LGALS3	3.414374558	0.002284531
P18085	ADP-ribosylation factor 4	P18085;C9JPM4;C9JAK5;U3KQF2	ARF4	4.815345619	0.000165827
P19086	Guanine nucleotide-binding protein G(z) subunit alpha	P19086	GNAZ	0.180019133	0.765600571
P19397	Leukocyte surface antigen CD53	P19397	CD53	2.272141835	0.01908086
P20020-6	Plasma membrane calcium-transporting ATPase 1;Calcium-transporting ATPase	P20020-6;P20020-3;P20020-4;P20020;P20020-5;P20020-2;E7ERY9;A0A0U1RQU3;H0YHH6;H0Y7S3;Q01814-4;Q01814-7;Q01814-3;Q01814-6;Q01814-2;Q01814-8;Q01814-5;Q01814	ATP2B1	7.180703756	2.49e-06
P20042	Eukaryotic translation initiation factor 2 subunit 2	P20042	EIF2S2	3.339672224	0.002619453
P20061	Transcobalamin-1	P20061	TCN1	0.228073488	0.708144537
P20160	Azurocidin	P20160;A0A087WXP0	AZU1	2.969888008	0.005056321
P20645	Cation-dependent mannose-6-phosphate receptor	P20645;F5GX30;H0YGE9;F5H4U1;F5GXE0;F5GXU0;H0YGT2;F5H883;H0YF90	M6PR	2.564853094	0.010997154
P20674	Cytochrome c oxidase subunit 5A, mitochondrial	P20674;H3BNX8;H3BRM5;H3BV69;H3BRI0	COX5A	3.700427974	0.00138015
P20701	Integrin alpha-L	P20701;P20701-2;P20701-3;H3BSV1;B4DQ77;B4E021	ITGAL	2.217951637	0.02116024
P21589	5-nucleotidase	P21589;P21589-2;Q96B60;H0Y7R7	NT5E	1.095780584	0.162830936
P21730	C5a anaphylatoxin chemotactic receptor 1	P21730	C5AR1	7.410965119	1.72e-06
P21796	Voltage-dependent anion-selective channel protein 1	P21796;C9JI87	VDAC1	3.204244853	0.00333665
P22557	5-aminolevulinate synthase, erythroid-specific, mitochondrial	P22557;H0Y6R3;P22557-3;P22557-2;P22557-4	ALAS2	2.613568922	0.010008953
P22748	Carbonic anhydrase 4	P22748;K7EKY5;K7ENI8;K7EIH9;P22748-2	CA4	3.607323144	0.00161625
P22830	Ferrochelatase, mitochondrial	P22830;P22830-2;K7ELX4;K7EJX5;K7EKP7;K7EPN2;K7EJM8	FECH	2.425318667	0.014247873
P23276	Kell blood group glycoprotein	P23276;E7ETW3;E9PHG0;H0Y8A1	KEL	3.467217297	0.002090914
P23458	Tyrosine-protein kinase JAK1	P23458;O60674	JAK1	4.334846191	0.000408881
U3KPS2	Myeloblastin	U3KPS2;P24158	PRTN3	5.00475514	0.000113998
P24311	Cytochrome c oxidase subunit 7B, mitochondrial	P24311	COX7B	1.430899293	0.090748137
P24539	ATP synthase F(0) complex subunit B1, mitochondrial	P24539;Q5QNZ2	ATP5F1	2.391345087	0.015216984
Q53F23	Thromboxane-A synthase	Q53F23;P24557-2;P24557;A0A0A0MSK3;A0A0C4DH47;P24557-4;P24557-3;C9JS68;B7Z6W1	TBXAS1	2.920710091	0.005519563
P24752	Acetyl-CoA acetyltransferase, mitochondrial	P24752;H0YEL7;E9PRQ6;P24752-2	ACAT1	4.121969626	0.000619423
P25024	C-X-C chemokine receptor type 1	P25024	CXCR1	3.447902571	0.002149812
P25025	C-X-C chemokine receptor type 2	P25025	CXCR2	2.977978304	0.004975892
P25705	ATP synthase subunit alpha, mitochondrial	P25705;P25705-2;P25705-3;K7EK77;K7ERX7;K7EJP1;K7ENJ4;K7EQH4;K7ESA0	ATP5A1	2.544984367	0.011336007
P25815	Protein S100-P	P25815	S100P	6.818845383	4.74e-06
P27487	Dipeptidyl peptidase 4;Dipeptidyl peptidase 4 membrane form;Dipeptidyl peptidase 4 soluble form	P27487	DPP4	0.323332217	0.610390659
P27701-2	CD82 antigen	P27701-2;P27701;E9PJC7;H0YD57	CD82	0.689097861	0.337170684
P28289	Tropomodulin-1	P28289;P28289-2;Q9NZQ9-2;Q9NZQ9	TMOD1	3.009151124	0.004692186
P28838-2	Cytosol aminopeptidase	P28838-2;P28838;H0Y9Q1;H0Y983	LAP3	1.905798742	0.037827707
P28907	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	P28907;H0Y950;P28907-2	CD38	8.240883541	4.75e-07
P29401	Transketolase	P29401;P29401-2;A0A0B4J1R6;E9PFF2;F8W888;F8WAX4	TKT	2.73599912	0.007813886
P29622	Kallistatin	P29622	SERPINA4	0.618050114	0.377651108
P29992	Guanine nucleotide-binding protein subunit alpha-11	P29992;K7EL62	GNA11	5.022251162	0.000112341
P30048-2	Thioredoxin-dependent peroxide reductase, mitochondrial	P30048-2;P30048	PRDX3	4.298627516	0.000442295
P30049	ATP synthase subunit delta, mitochondrial	P30049	ATP5D	5.161669938	8.72e-05
P30273	High affinity immunoglobulin epsilon receptor subunit gamma	P30273;A6NCQ8	FCER1G	0.731126557	0.314027503
P30405	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	P30405;R4GN99;H0Y548;P30405-2;E9PKY5;E9PEQ6;Q9UNP9-2;Q9UNP9;Q9UNP9-3	PPIF	3.917142907	0.000895843
P30740	Leukocyte elastase inhibitor	P30740;P30740-2	SERPINB1	2.80316069	0.006918863
P30825	High affinity cationic amino acid transporter 1	P30825	SLC7A1	2.421763005	0.014305397
P31689	DnaJ homolog subfamily A member 1	P31689;P31689-2	DNAJA1	2.319605174	0.017343502
P31930	Cytochrome b-c1 complex subunit 1, mitochondrial	P31930	UQCRC1	3.613978582	0.001599012
P31949	Protein S100-A11;Protein S100-A11, N-terminally processed	P31949	S100A11	1.111937757	0.158653102
P31997	Carcinoembryonic antigen-related cell adhesion molecule 8	P31997	CEACAM8	5.802477161	2.84e-05
P32119	Peroxiredoxin-2	P32119;A6NIW5;P32119-2	PRDX2	1.490526595	0.081629679
Q68DZ5	Beta-arrestin-2	Q68DZ5;P32121-5;P32121-2;P32121;P32121-3;P32121-4	DKFZp686L0365	3.209542955	0.003318437
P32320	Cytidine deaminase	P32320	CDA	4.2623277	0.000476251
P32856-3	Syntaxin-2	P32856-3;P32856-2;P32856	STX2	10.35151883	1.01e-08
P32942	Intercellular adhesion molecule 3	P32942;K7ERN2;K7ERF0;K7EQC7	ICAM3	3.184228979	0.003453519
P33151	Cadherin-5	P33151;P33151-2;I3L1J2	CDH5	6.387459843	1.02e-05
P33241	Lymphocyte-specific protein 1	P33241;P33241-3;E7EMG9;C9JU59;C9JDV1;REV__E9PBG3;REV__Q9NQ86-4;REV__Q9NQ86	LSP1	2.426390931	0.014242411
P34897-3	Serine hydroxymethyltransferase, mitochondrial;Serine hydroxymethyltransferase	P34897-3;P34897-2;P34897;H0YIZ0;G3V241;G3V3Y8;G3V4T0;G3V4X0;G3V2W0;G3V2E4;G3V540;G3V5L0;G3V2Y4;G3V4W5	SHMT2	6.009373363	2e-05
P34910	Protein EVI2B	P34910;P34910-2	EVI2B	3.003855566	0.004724883
P35222	Catenin beta-1	P35222;B4DGU4;E7EMJ5;E9PDF9;E7EV28	CTNNB1	0.422402503	0.517673343
P35241	Radixin	P35241;P35241-5;P35241-4;E9PNV3;P35241-2;P35241-3;E9PQ82;C9J8U1;F8WAN1;Q69YQ0-2;Q69YQ0	RDX	0.684425831	0.339282247
P35268	60S ribosomal protein L22	P35268;K7EJT5;K7EP65;K7EKS7;K7ELC4;K7EMH1;K7ERI7	RPL22	2.686143126	0.008683265
P35580	Myosin-10	P35580;P35580-3;P35580-5;P35580-2;P35580-4;E7ERA5;REV__Q8IYT3;H0Y6I0;Q13439-3;Q13439-4;Q13439;Q13439-5	MYH10	3.462499366	0.00210061
P35606-2	Coatomer subunit beta	P35606-2;P35606;H0Y938	COPB2	2.9438437	0.005300166
P35612	Beta-adducin	P35612;P35612-4;P35612-3;P35612-2;P35612-8;P35612-9;A0A1C7CYY0;C9JTM0;P35612-5;P35612-6;C9J080;C9J299;P35612-7	ADD2	2.843651254	0.00636612
P35625	Metalloproteinase inhibitor 3	P35625	TIMP3	3.366991622	0.002491086
P35749-4	Myosin-11	P35749-4;P35749-3;P35749;P35749-2	MYH11	1.770469567	0.048571695
P35754	Glutaredoxin-1	P35754	GLRX	2.501930021	0.012302518
P36222	Chitinase-3-like protein 1	P36222;H0Y3U8	CHI3L1	2.871494074	0.006044506
P36507	Dual specificity mitogen-activated protein kinase kinase 2	P36507;G5E9C7	MAP2K2	0.551260789	0.420492814
P36542-2	ATP synthase subunit gamma, mitochondrial	P36542-2;P36542	ATP5C1	2.272748743	0.01908086
P36551	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	P36551;P36551-2;H0YA22;D6RER6	CPOX	3.703652959	0.001375168
P36578	60S ribosomal protein L4	P36578;H3BM89;H3BTP7;H3BU31	RPL4	1.69827499	0.055862681
P36871	Phosphoglucomutase-1	P36871;P36871-2;P36871-3	PGM1	2.228197001	0.020786587
P36955	Pigment epithelium-derived factor	P36955;I3L107;I3L4Z0;I3L4N7;I3L4F9;I3L3Z3;I3L2R7;I3L425;I3L1U4	SERPINF1	0.640589024	0.36543999
P36957	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	P36957;Q86SW4;P36957-2;H0YJF9;G3V5M3;G3V3F0	DLST	3.348784316	0.0025813
P37837	Transaldolase	P37837;F2Z393	TALDO1	2.023652575	0.030095582
P38117	Electron transfer flavoprotein subunit beta	P38117;P38117-2;M0QY67	ETFB	6.758223243	5.12e-06
P38646	Stress-70 protein, mitochondrial	P38646;D6RJI2;D6RA73;H0Y8S0;H0YBG6	HSPA9	5.110267685	9.42e-05
P40121-2	Macrophage-capping protein	P40121-2;P40121;H7C0X8;B8ZZL6;E7ENU9	CAPG	4.732777846	0.000191434
P40926	Malate dehydrogenase, mitochondrial;Malate dehydrogenase	P40926;P40926-2;G3XAL0	MDH2	5.05481549	0.000104907
P40939	Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase	P40939;H0YFD6;P40939-2	HADHA	3.931120636	0.000881808
P41091	Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein	P41091;Q2VIR3;F8W810;Q2VIR3-2;H7BZU1	EIF2S3	1.942464268	0.035356426
P41218	Myeloid cell nuclear differentiation antigen	P41218;H0Y6P3	MNDA	1.894685406	0.038614469
P42025	Beta-centractin	P42025	ACTR1B	1.822824986	0.043673442
P42356	Phosphatidylinositol 4-kinase alpha	P42356	PI4KA	1.865969462	0.040353792
P42566-2	Epidermal growth factor receptor substrate 15	P42566-2;P42566;B1AUU8	EPS15	0.392618745	0.542589949
P42892-3	Endothelin-converting enzyme 1	P42892-3;P42892-4;P42892;B4DKB2;P42892-2;E9PJG1;E9PN99;E9PHZ1	ECE1	7.600841319	1.46e-06
P43007	Neutral amino acid transporter A	P43007;P43007-2	SLC1A4	4.499709591	0.000302558
P43034	Platelet-activating factor acetylhydrolase IB subunit alpha	P43034;P43034-2	PAFAH1B1	2.033180053	0.029546202
P43121	Cell surface glycoprotein MUC18	P43121	MCAM	2.029274234	0.029760463
P43304	Glycerol-3-phosphate dehydrogenase, mitochondrial	P43304;P43304-2;F5GYK7	GPD2	2.959741961	0.005162464
P43490	Nicotinamide phosphoribosyltransferase	P43490;A0A0C4DFS8	NAMPT	9.581881508	4.34e-08
P43686-2	26S protease regulatory subunit 6B	P43686-2;P43686	PSMC4	2.563206833	0.011014497
P45880-2	Voltage-dependent anion-selective channel protein 2	P45880-2;P45880;P45880-1;A0A0A0MR02;Q5JSD2;Q5JSD1;A2A3S1	VDAC2	5.394982563	5.73e-05
P46976-2	Glycogenin-1	P46976-2;P46976;G5E9W8;C9JQ42;P46976-3;C9J8R8;C9J7C7	GYG1	5.171133155	8.65e-05
P48047	ATP synthase subunit O, mitochondrial	P48047;H7C0C1;H7C086;H7C068	ATP5O	3.576281365	0.0016935
R4GMR5	26S proteasome non-ATPase regulatory subunit 8	R4GMR5;P48556;K7ERW6;K7EJC1;K7EJR3	PSMD8	1.915864738	0.037085057
P48637-2	Glutathione synthetase	P48637-2;P48637	GSS	12.42614733	1.71e-10
P48735	Isocitrate dehydrogenase [NADP], mitochondrial	P48735;P48735-2;H0YL11	IDH2	4.04621156	0.000718065
P48960-2	CD97 antigen;CD97 antigen subunit alpha;CD97 antigen subunit beta	P48960-2;P48960-3;P48960;K7EPE8;M0QY55;B4DWB8;M0R0K5;Q9UHX3-4;Q9UHX3-6;Q9UHX3-3;Q9UHX3-2;Q9UHX3	CD97	4.542357288	0.000279326
P49257	Protein ERGIC-53	P49257	LMAN1	3.052785374	0.004391929
P49588	Alanine--tRNA ligase, cytoplasmic	P49588;P49588-2;H3BPK7	AARS	1.695734089	0.056104553
P49795	Regulator of G-protein signaling 19	P49795	RGS19	0.945985029	0.213034313
P50238	Cysteine-rich protein 1	P50238;K4DIB9;H3BRQ4	CRIP1	0.894270791	0.234878283
P50336	Protoporphyrinogen oxidase	P50336;H0YFP3;A0A1W2PRF9;A0A1W2PQM0;F5H825;H0YFE1;F5GZT7;A0A1W2PPA5	PPOX	2.783664836	0.007152059
P50454	Serpin H1	P50454;E9PR70;E9PPV6;E9PKH2;E9PK86;E9PMI5;E9PQ34;E9PNX1;E9PIG2;E9PRS3;E9PJH8;H0YEP8	SERPINH1	5.190332533	8.41e-05
P50895	Basal cell adhesion molecule	P50895;A0A087WXM8;K7ENU8	BCAM	1.454971284	0.086906312
P51148	Ras-related protein Rab-5C	P51148;P51148-2;F8VVZ0;F8VUA5;F8VVK3;K7ERI8;K7ERQ8;F8VWU4;K7ENY4;K7EIP6;F8WCY6;F8WD79;F8VPW9;F8VSF8;F8VWZ7	RAB5C	1.356327619	0.102775057
P51159-2	Ras-related protein Rab-27A	P51159-2;P51159;H3BVH7;H3BN55;H3BUD9;H3BS49;H3BU81	RAB27A	5.553238234	4.32e-05
P51665	26S proteasome non-ATPase regulatory subunit 7	P51665;H3BNT7;H3BTM8	PSMD7	1.801215867	0.045610488
P51809-3	Vesicle-associated membrane protein 7	P51809-3;P51809;P51809-2	VAMP7	2.409057888	0.01469958
P51811	Membrane transport protein XK	P51811	XK	2.114206208	0.025315039
P51884	Lumican	P51884;CON__Q05443	LUM	2.120255225	0.025055503
P52209-2	6-phosphogluconate dehydrogenase, decarboxylating	P52209-2;P52209;K7EPF6;K7EM49;K7EMN2;K7ELN9	PGD	3.925096027	0.000890446
P52790	Hexokinase-3	P52790	HK3	3.614814761	0.001599012
P53618	Coatomer subunit beta	P53618;E9PP73	COPB1	0.823153746	0.26747338
P53621	Coatomer subunit alpha;Xenin;Proxenin	P53621;P53621-2	COPA	2.086719499	0.026775356
