Protein IDs	protein names	Gene names SINGLE	ENSG	ENSP	logP	q-value
P02730;P02730-2;A0A0A0MS98	Band 3 anion transport protein	SLC4A1	ENSG00000004939	ENSP00000262418;ENSP00000382190;ENSP00000486787	3.070915513	0.004260767
P02748;CON__Q3MHN2	Complement component C9;Complement component C9a;Complement component C9b	C9	ENSG00000113600	ENSP00000263408	NaN	NaN
P04080;A0A1W2PS52	Cystatin-B	CSTB	ENSG00000160213	ENSP00000291568	2.601384124	0.01024627
P04114;A8MUN2;CON__ENSEMBL:ENSBTAP00000032840	Apolipoprotein B-100;Apolipoprotein B-48	APOB	ENSG00000084674	ENSP00000233242;ENSP00000382200;ENSP00000477990	1.835355154	0.042841354
P04181;P04181-2	Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form	OAT	ENSG00000065154	ENSP00000357838;ENSP00000439042	7.300217878	2.03E-06
P04220	Ig mu heavy chain disease protein				0.429890103	0.510744813
P04229;Q29974;P13760;Q30154;A0A182DWH4;Q30167	HLA class II histocompatibility antigen, DRB1-1 beta chain;HLA class II histocompatibility antigen, DRB1-16 beta chain;HLA class II histocompatibility antigen, DRB1-4 beta chain;HLA class II histocompatibility antigen, DR beta 5 chain	HLA-DRB1	ENSG00000196126;ENSG00000228080;ENSG00000198502	ENSP00000353099;ENSP00000480667;ENSP00000403458;ENSP00000364114	2.802227138	0.006918863
P04839;Q5H9D4;Q9Y5S8-2;Q9Y5S8-3;Q9Y5S8	Cytochrome b-245 heavy chain	CYBB	ENSG00000007952;ENSG00000165168	ENSP00000217885;ENSP00000362051;ENSP00000362055;ENSP00000362057;ENSP00000396992;ENSP00000367851	4.649383623	0.000224313
P04899;P04899-4;P04899-6;P04899-3;P04899-5;P04899-2;P09471-2;P19087;P11488;P09471;A8MTJ3;A0A1W2PRE1;A2A2R6;A0A1W2PQK2;A0A087WTB6;Q5JWD1;H0Y7E8;A0A1W2PRJ7;A0A087WZE5;F8WE78;A0A1W2PS82;H3BTM2;A0A1W2PP38;F5H658	Guanine nucleotide-binding protein G(i) subunit alpha-2	GNAI2	ENSG00000214415;ENSG00000114353;ENSG00000067596;ENSG00000087460;ENSG00000114349;ENSG00000087258;ENSG00000134183	ENSP00000381339;ENSP00000266027;ENSP00000312999;ENSP00000394321;ENSP00000395736;ENSP00000406065;ENSP00000406369;ENSP00000406871;ENSP00000262415;ENSP00000437886;ENSP00000465178;ENSP00000466900;ENSP00000467834;ENSP00000474654;ENSP00000265620;ENSP00000265621;ENSP00000302237;ENSP00000304472;ENSP00000323571;ENSP00000345971;ENSP00000346328;ENSP00000360115;ENSP00000360122;ENSP00000360126;ENSP00000360136;ENSP00000360139;ENSP00000360140;ENSP00000360141;ENSP00000360143;ENSP00000392000;ENSP00000412356;ENSP00000412424;ENSP00000416234;ENSP00000474219;ENSP00000474802;ENSP00000232461;ENSP00000387555;ENSP00000403537;ENSP00000262493;ENSP00000262494;ENSP00000454728;ENSP00000454971;ENSP00000455774;ENSP00000457238;ENSP00000477740;ENSP00000251337;ENSP00000482596	3.996408876	0.000785194
P04921-2;P04921-3;P04921;A0A0J9YYA0;A0A0J9YWG3;B7Z1Y6;A0A1W2PQF4;Q9UHC6-2	Glycophorin-C	GYPC	ENSG00000136732;ENSG00000174469	ENSP00000259254;ENSP00000349354;ENSP00000386904;ENSP00000354778;ENSP00000485955;ENSP00000486292;ENSP00000487516	1.060945511	0.173528014
P05089;P05089-2;P05089-3	Arginase-1	ARG1	ENSG00000118520	ENSP00000349446;ENSP00000357066	10.36489188	1.01E-08
P05107;J3KNI6;E7EVZ9	Integrin beta-2;Integrin beta	ITGB2	ENSG00000160255	ENSP00000303242;ENSP00000317697;ENSP00000347279;ENSP00000380944;ENSP00000380948;ENSP00000380950;ENSP00000380952;ENSP00000380955;ENSP00000427732;ENSP00000428125;ENSP00000428413;ENSP00000428434;ENSP00000428503;ENSP00000428870;ENSP00000428979;ENSP00000429683;ENSP00000430901;ENSP00000480700	5.969092417	2.15E-05
P05109	Protein S100-A8;Protein S100-A8, N-terminally processed	S100A8	ENSG00000143546	ENSP00000357721;ENSP00000357722	6.22614535	1.42E-05
P05141;Q9H0C2	ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed	SLC25A5	ENSG00000151475;ENSG00000005022	ENSP00000281154;ENSP00000360671	4.22743022	0.000511208
P05164-2;P05164;P05164-3;J3QSF7;F5H386;P22079-2;P22079	Myeloperoxidase;Myeloperoxidase;89 kDa myeloperoxidase;84 kDa myeloperoxidase;Myeloperoxidase light chain;Myeloperoxidase heavy chain	MPO	ENSG00000005381;ENSG00000167419	ENSP00000225275;ENSP00000464668;ENSP00000262290;ENSP00000374227;ENSP00000400245;ENSP00000445344;ENSP00000462752;ENSP00000464636;ENSP00000464643	3.965043207	0.000825789
P05186;P05186-3;P05186-2;B1ANL0;REV__Q86WI3-3;REV__Q86WI3-2;REV__Q86WI3-5;REV__Q86WI3-6;REV__Q86WI3-4;REV__Q86WI3	Alkaline phosphatase, tissue-nonspecific isozyme	ALPL	ENSG00000162551	ENSP00000363963;ENSP00000363965;ENSP00000363973;ENSP00000437674;ENSP00000442672	8.932974509	1.52E-07
P05198;H0YJS4;G3V4T5	Eukaryotic translation initiation factor 2 subunit 1	EIF2S1	ENSG00000134001	ENSP00000256383;ENSP00000425299;ENSP00000451975;ENSP00000452034	1.25234304	0.122502175
P06576;H0YH81;F8W079;F8W0P7;H0YI37	ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta	ATP5B	ENSG00000110955	ENSP00000262030;ENSP00000446489;ENSP00000446677;ENSP00000447571;ENSP00000448428	4.806209343	0.00016835
P06702	Protein S100-A9	S100A9	ENSG00000163220	ENSP00000357727	6.184385591	1.53E-05
R4GN98;P06703	Protein S100;Protein S100-A6	S100A6	ENSG00000197956	ENSP00000357708;ENSP00000357709;ENSP00000473547;ENSP00000473589	3.207005655	0.003325258
P06737-2;P06737;E9PK47	Glycogen phosphorylase, liver form;Alpha-1,4 glucan phosphorylase	PYGL	ENSG00000100504	ENSP00000216392;ENSP00000431657;ENSP00000443787	1.9866276	0.032434244
P06756-3;P06756-2;P06756	Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain	ITGAV	ENSG00000138448	ENSP00000261023;ENSP00000364042;ENSP00000389442;ENSP00000404291	3.173930124	0.003501748
P07954-2;P07954	Fumarate hydratase, mitochondrial	FH	ENSG00000091483	ENSP00000355518	4.160983295	0.000573961
P08133;P08133-2;E7EMC6;E5RK63;E5RJF5;E5RFF0;E5RI05;E5RIU8;E5RJR0	Annexin A6;Annexin	ANXA6	ENSG00000197043	ENSP00000346550;ENSP00000366980;ENSP00000428916;ENSP00000430420;ENSP00000430429;ENSP00000430517;ENSP00000430572;ENSP00000430663;ENSP00000430826;ENSP00000431078;ENSP00000431086	3.115852699	0.003917484
P08311	Cathepsin G	CTSG	ENSG00000100448	ENSP00000216336	8.285192353	4.72E-07
P08473;C9JR96;C9IYX7;C9J9X7	Neprilysin	MME	ENSG00000196549	ENSP00000353679;ENSP00000372450;ENSP00000417079;ENSP00000417595;ENSP00000418238;ENSP00000418525;ENSP00000418791;ENSP00000419653;ENSP00000420101;ENSP00000420389;ENSP00000420542;ENSP00000478173;ENSP00000480349;ENSP00000485791	2.798429482	0.006946154
P08559-3;P08559;P08559-2;P08559-4;Q5JPU3;Q5JPU0;Q5JPT9;Q5JPU1;P29803;Q5JPU2	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	PDHA1	ENSG00000131828;ENSG00000163114	ENSP00000348062;ENSP00000369132;ENSP00000369133;ENSP00000369134;ENSP00000394382;ENSP00000404616;ENSP00000406473;ENSP00000438550;ENSP00000440761;ENSP00000295266	8.760151164	1.86E-07
P08571;D6RFL4	Monocyte differentiation antigen CD14;Monocyte differentiation antigen CD14, urinary form;Monocyte differentiation antigen CD14, membrane-bound form	CD14	ENSG00000170458	ENSP00000304236;ENSP00000385519;ENSP00000425447;ENSP00000426543;ENSP00000430884	2.539435816	0.011431844
P08574	Cytochrome c1, heme protein, mitochondrial	CYC1	ENSG00000179091	ENSP00000317159	6.341362837	1.12E-05
P08708;H0YN73;H0YN88;A0A075B716;H3BNC9	40S ribosomal protein S17	RPS17	ENSG00000182774;ENSG00000260836	ENSP00000346046;ENSP00000452889;ENSP00000453894;ENSP00000453910;ENSP00000454786	3.148294611	0.003687298
P09669	Cytochrome c oxidase subunit 6C	COX6C	ENSG00000164919	ENSP00000297564;ENSP00000428150;ENSP00000428702;ENSP00000428895;ENSP00000428965;ENSP00000429410;ENSP00000429707;ENSP00000429714;ENSP00000429755;ENSP00000429991	7.118759123	2.72E-06
P09769;Q5TGY6	Tyrosine-protein kinase Fgr	FGR	ENSG00000000938	ENSP00000363115;ENSP00000363116;ENSP00000363117;ENSP00000382126;ENSP00000407670	3.954352491	0.000842842
P09960;P09960-4;P09960-2;P09960-3;B4DEH5	Leukotriene A-4 hydrolase	LTA4H	ENSG00000111144	ENSP00000228740;ENSP00000395051;ENSP00000449340;ENSP00000449958	4.508399852	0.000298847
P0DP08					1.02517129	0.183988966
P10114;F6U784	Ras-related protein Rap-2a	RAP2A	ENSG00000125249	ENSP00000245304;ENSP00000436462	7.482573785	1.58E-06
P10606	Cytochrome c oxidase subunit 5B, mitochondrial	COX5B	ENSG00000135940	ENSP00000258424	2.187037132	0.022377787
P10809;E7ESH4;E7EXB4;P10809-2;C9JL25;C9JL19;C9JCQ4;C9J0S9	60 kDa heat shock protein, mitochondrial	HSPD1	ENSG00000144381	ENSP00000340019;ENSP00000373620;ENSP00000390404;ENSP00000393670;ENSP00000396460;ENSP00000402478;ENSP00000412227;ENSP00000412717;ENSP00000414446	2.218996	0.021150011
P11166;A0A0D9SG74;A0A0D9SFK9;A6NL68	Solute carrier family 2, facilitated glucose transporter member 1	SLC2A1	ENSG00000117394	ENSP00000361578;ENSP00000395521;ENSP00000416293;ENSP00000486694;ENSP00000487213	3.038866818	0.004476104
P11168;P11168-2;C9J0E8;A0A0C4DH64	Solute carrier family 2, facilitated glucose transporter member 2	SLC2A2	ENSG00000163581	ENSP00000323568;ENSP00000417918;ENSP00000418456;ENSP00000418888	9.035223805	1.29E-07
P11177-3;P11177-2;P11177;F8WF02;C9J634	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	PDHB	ENSG00000168291	ENSP00000307241;ENSP00000373220;ENSP00000417267;ENSP00000418448;ENSP00000419580	5.610892741	4.02E-05
P11215;P11215-2;H3BMV4;Q13349	Integrin alpha-M	ITGAM	ENSG00000169896;ENSG00000156886	ENSP00000287497;ENSP00000441691;ENSP00000454568;ENSP00000461850;ENSP00000373854	5.648171312	3.79E-05
P11277;P11277-2;P11277-3;H0YJE6;E9PJZ2	Spectrin beta chain, erythrocytic	SPTB	ENSG00000070182;ENSG00000173898	ENSP00000374370;ENSP00000374371;ENSP00000374372;ENSP00000451324;ENSP00000451752;ENSP00000311489;ENSP00000432568;ENSP00000433593;ENSP00000433631;ENSP00000480692;ENSP00000482000	3.103233811	0.00401045
P11279-2;P11279	Lysosome-associated membrane glycoprotein 1	LAMP1	ENSG00000185896	ENSP00000333298	5.445223911	5.23E-05
P11678	Eosinophil peroxidase;Eosinophil peroxidase light chain;Eosinophil peroxidase heavy chain	EPX	ENSG00000121053	ENSP00000225371	4.419148989	0.000355735
P11908;P11908-2;A6NMS2;D3YTJ7	Ribose-phosphate pyrophosphokinase 2	PRPS2	ENSG00000101911	ENSP00000370038;ENSP00000370043;ENSP00000381504;ENSP00000418911;ENSP00000419380	2.461589546	0.013272174
P12110;P12110-3;P12110-2;C9JH44	Collagen alpha-2(VI) chain	COL6A2	ENSG00000142173	ENSP00000300527;ENSP00000312529;ENSP00000380870;ENSP00000387115;ENSP00000390418;ENSP00000395751	2.050144509	0.028664806
P12236;P12235;V9GYG0	ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed;ADP/ATP translocase 1	SLC25A6	ENSG00000169100;ENSG00000151729	ENSP00000370808;ENSP00000281456;ENSP00000476711	3.401678566	0.002344664
P12318-2;P12318;V9GY55;V9GY83;H0YGT0;F5GXY9;F5GX41;A0A087WXE5	Low affinity immunoglobulin gamma Fc region receptor II-a	FCGR2A	ENSG00000143226;ENSG00000244682	ENSP00000271450;ENSP00000356949;ENSP00000440148;ENSP00000441156;ENSP00000476411;ENSP00000476495;ENSP00000444663;ENSP00000480953	2.295084961	0.018269951
P12429;D6RA82;D6RFG5;D6RCA8;D6RAZ8;D6RFJ9	Annexin A3;Annexin	ANXA3	ENSG00000138772	ENSP00000264908;ENSP00000421015;ENSP00000421512;ENSP00000422281;ENSP00000423068;ENSP00000424584;ENSP00000426591	1.875516105	0.039761614
P12724	Eosinophil cationic protein	RNASE3	ENSG00000169397	ENSP00000302324	1.865550478	0.040353792
P13010;C9JZ81	X-ray repair cross-complementing protein 5	XRCC5	ENSG00000079246	ENSP00000375977;ENSP00000375978;ENSP00000395108;ENSP00000401318	3.049452865	0.004391929
P13073;H3BN72;H3BNV9;Q86WV2;H3BPG0;H3BNI5	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	COX4I1	ENSG00000131143	ENSP00000253452;ENSP00000454714;ENSP00000454869;ENSP00000455030;ENSP00000455301;ENSP00000455437;ENSP00000456452;ENSP00000457015;ENSP00000457513	4.155197297	0.000576395
P13473-2;P13473;P13473-3;H0YCG2	Lysosome-associated membrane glycoprotein 2	LAMP2	ENSG00000005893	ENSP00000200639;ENSP00000360386;ENSP00000408411;ENSP00000431526	3.919511544	0.000894607
P13498	Cytochrome b-245 light chain	CYBA	ENSG00000051523	ENSP00000261623;ENSP00000454951;ENSP00000455506;ENSP00000455537;ENSP00000456079;ENSP00000457060	4.352443887	0.000396493
P13533;P12883	Myosin-6;Myosin-7	MYH6	ENSG00000197616;ENSG00000092054	ENSP00000348634;ENSP00000386041;ENSP00000347507	4.402499239	0.000364037
P13688-6;P13688-5;P13688;P13688-7;P13688-3;P13688-4;P13688-11;P13688-9;P13688-2;P13688-8;P13688-10;M0R2K4;M0R109	Carcinoembryonic antigen-related cell adhesion molecule 1	CEACAM1	ENSG00000079385	ENSP00000161559;ENSP00000244291;ENSP00000351165;ENSP00000384083;ENSP00000384709;ENSP00000471566;ENSP00000471918;ENSP00000472633	4.163997474	0.000572606
P13796;Q5TBN3;P13796-2;Q5TBN5;U3KQI3;C9JAM8;Q14651	Plastin-2	LCP1	ENSG00000102024;ENSG00000136167;ENSG00000120756	ENSP00000289290;ENSP00000348163;ENSP00000398945;ENSP00000417728;ENSP00000419051;ENSP00000420458;ENSP00000445339;ENSP00000475900;ENSP00000487343;ENSP00000315757;ENSP00000381581;ENSP00000402157;ENSP00000408052;ENSP00000336831;ENSP00000387890;ENSP00000417311;ENSP00000417481;ENSP00000417491;ENSP00000418700;ENSP00000418880;ENSP00000419271;ENSP00000419531;ENSP00000419893	3.983774339	0.000803581
P14209;A0A096LP69;P14209-3;A8MQT7;P14209-2	CD99 antigen	CD99	ENSG00000002586	ENSP00000370570;ENSP00000370573;ENSP00000370579;ENSP00000370582;ENSP00000370588;ENSP00000405544;ENSP00000479999;ENSP00000485427;ENSP00000485545	0.243954609	0.689951935
P14550;Q5T621	Alcohol dehydrogenase [NADP(+)]	AKR1A1	ENSG00000117448	ENSP00000312606;ENSP00000361140;ENSP00000398414;ENSP00000476713;ENSP00000476978;ENSP00000480713	3.252194492	0.003087461
P14555	Phospholipase A2, membrane associated	PLA2G2A	ENSG00000188257	ENSP00000364252;ENSP00000383364	3.459893318	0.00210521
P14780	Matrix metalloproteinase-9;67 kDa matrix metalloproteinase-9;82 kDa matrix metalloproteinase-9	MMP9	ENSG00000100985	ENSP00000361405	6.878206112	4.30E-06
P14923;C9JTX4;C9J826;C9JK18;C9JKY1	Junction plakoglobin	JUP	ENSG00000173801	ENSP00000311113;ENSP00000377507;ENSP00000377508;ENSP00000389886;ENSP00000394146;ENSP00000401034;ENSP00000409948;ENSP00000411449;ENSP00000468347	0.597251076	0.39076313
P15144;H0YMC1	Aminopeptidase N	ANPEP	ENSG00000166825	ENSP00000300060;ENSP00000452934;ENSP00000453405;ENSP00000453413;ENSP00000453545	4.416868453	0.000355783
P15531;P15531-2	Nucleoside diphosphate kinase A	NME1	ENSG00000239672	ENSP00000013034;ENSP00000337060;ENSP00000376892;ENSP00000387682;ENSP00000428553;ENSP00000429318;ENSP00000435498	1.294072472	0.113670127
P16157;P16157-8;P16157-12;P16157-14;P16157-16;P16157-3;P16157-10;P16157-2;H0YAY8;Q12955-5;Q12955-4;Q12955;A0A087X0B4;B7Z651;A0A0U1RQN6;D6RHE1;E9PHW9;I6L894;P16157-23;Q12955-7;Q01484-5;Q01484-2;Q01484;D6RHY3;P16157-19;P16157-22	Ankyrin-1	ANK1	ENSG00000029534;ENSG00000151150;ENSG00000145362	ENSP00000265709;ENSP00000289734;ENSP00000297744;ENSP00000319123;ENSP00000335031;ENSP00000339620;ENSP00000428315;ENSP00000428750;ENSP00000430174;ENSP00000430368;ENSP00000280772;ENSP00000347436;ENSP00000362921;ENSP00000362926;ENSP00000362933;ENSP00000422506;ENSP00000422657;ENSP00000423057;ENSP00000423968;ENSP00000425236;ENSP00000426011;ENSP00000426258;ENSP00000426582;ENSP00000426690;ENSP00000427121;ENSP00000477814;ENSP00000477827;ENSP00000478037;ENSP00000479018;ENSP00000479337;ENSP00000480249;ENSP00000480745;ENSP00000481611;ENSP00000482307;ENSP00000482401;ENSP00000483244;ENSP00000483483;ENSP00000264366;ENSP00000349588;ENSP00000378044;ENSP00000421011;ENSP00000421023;ENSP00000421059;ENSP00000421067;ENSP00000422486;ENSP00000422498;ENSP00000422853;ENSP00000422888;ENSP00000422900;ENSP00000423799;ENSP00000424722;ENSP00000425775;ENSP00000426944;ENSP00000426994;ENSP00000482888	3.620923527	0.001590874
P16157-4;P16157-9;P16157-13;P16157-15;P16157-7;P16157-11;H0YBS0	Ankyrin-1	ANK1	ENSG00000029534	ENSP00000265709;ENSP00000289734;ENSP00000297744;ENSP00000319123;ENSP00000335031;ENSP00000339620;ENSP00000428315;ENSP00000428750;ENSP00000430174;ENSP00000430368	2.691752116	0.008591729
P16157-5;P16157-21;Q6PK32	Ankyrin-1	ANK1	ENSG00000029534	ENSP00000265709;ENSP00000289734;ENSP00000297744;ENSP00000319123;ENSP00000335031;ENSP00000339620;ENSP00000428315;ENSP00000428750;ENSP00000430174;ENSP00000430368	3.659647923	0.001493313
P16452;P16452-2;P16452-3;F5H563;H3BTE6;H3BPV8;H3BUR1	Erythrocyte membrane protein band 4.2	EPB42	ENSG00000166947	ENSP00000300215;ENSP00000396616;ENSP00000444699;ENSP00000455489;ENSP00000457140;ENSP00000457757;ENSP00000481226	3.059606559	0.004349211
P16615-5;P16615-2;P16615-3;P16615-4;P16615;H7C5W9;O14983-3;O14983-2;O14983;J3QSY6	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	ATP2A2	ENSG00000174437;ENSG00000196296	ENSP00000311186;ENSP00000366913;ENSP00000440045;ENSP00000447406;ENSP00000449454;ENSP00000450407;ENSP00000349595;ENSP00000378879;ENSP00000443101;ENSP00000457148;ENSP00000457357;ENSP00000457793;ENSP00000457798;ENSP00000458035	2.931602575	0.005422987
P17174-2;P17174	Aspartate aminotransferase, cytoplasmic	GOT1	ENSG00000120053	ENSP00000359539	4.553133453	0.000275426
P17213;H0Y738;A0A0D9SFX6	Bactericidal permeability-increasing protein	BPI	ENSG00000101425	ENSP00000262865;ENSP00000391511;ENSP00000393126;ENSP00000409833;ENSP00000486976;ENSP00000487406	5.015848478	0.000113274
P17813-2;P17813;F5GX88	Endoglin	ENG	ENSG00000106991	ENSP00000341917;ENSP00000362299;ENSP00000479015	3.541213079	0.001799716
P17931;G3V3R6	Galectin-3;Galectin	LGALS3	ENSG00000131981	ENSP00000254301;ENSP00000451381;ENSP00000451526	3.414374558	0.002284531
P18085;C9JPM4;C9JAK5;U3KQF2	ADP-ribosylation factor 4	ARF4	ENSG00000168374	ENSP00000306010;ENSP00000417501;ENSP00000418388;ENSP00000420254;ENSP00000420655;ENSP00000475828	4.815345619	0.000165827
P19086	Guanine nucleotide-binding protein G(z) subunit alpha	GNAZ	ENSG00000128266	ENSP00000478892	0.180019133	0.765600571
P19397	Leukocyte surface antigen CD53	CD53	ENSG00000143119	ENSP00000271324	2.272141835	0.01908086
P20020-6;P20020-3;P20020-4;P20020;P20020-5;P20020-2;E7ERY9;A0A0U1RQU3;H0YHH6;H0Y7S3;Q01814-4;Q01814-7;Q01814-3;Q01814-6;Q01814-2;Q01814-8;Q01814-5;Q01814	Plasma membrane calcium-transporting ATPase 1;Calcium-transporting ATPase	ATP2B1	ENSG00000157087;ENSG00000070961	ENSP00000324172;ENSP00000353414;ENSP00000373311;ENSP00000380267;ENSP00000414854;ENSP00000424494;ENSP00000261173;ENSP00000352054;ENSP00000376869;ENSP00000392043;ENSP00000447041;ENSP00000447096	7.180703756	2.49E-06
P20042	Eukaryotic translation initiation factor 2 subunit 2	EIF2S2	ENSG00000125977	ENSP00000364119	3.339672224	0.002619453
P20061	Transcobalamin-1	TCN1	ENSG00000134827	ENSP00000257264	0.228073488	0.708144537
P20160;A0A087WXP0	Azurocidin	AZU1	ENSG00000172232;ENSG00000278624;ENSG00000172232	ENSP00000233997;ENSP00000479183;ENSP00000481172	2.969888008	0.005056321
P20645;F5GX30;H0YGE9;F5H4U1;F5GXE0;F5GXU0;H0YGT2;F5H883;H0YF90	Cation-dependent mannose-6-phosphate receptor	M6PR	ENSG00000003056	ENSP00000000412;ENSP00000437595;ENSP00000439070;ENSP00000439968;ENSP00000440488;ENSP00000440962;ENSP00000441030;ENSP00000441040;ENSP00000442100;ENSP00000442983;ENSP00000444684	2.564853094	0.010997154
P20674;H3BNX8;H3BRM5;H3BV69;H3BRI0	Cytochrome c oxidase subunit 5A, mitochondrial	COX5A	ENSG00000178741	ENSP00000317780;ENSP00000455053;ENSP00000456253;ENSP00000456314;ENSP00000456386;ENSP00000457974	3.700427974	0.00138015
P20701;P20701-2;P20701-3;H3BSV1;B4DQ77;B4E021	Integrin alpha-L	ITGAL	ENSG00000005844	ENSP00000349252;ENSP00000350886;ENSP00000409377;ENSP00000454342;ENSP00000454908;ENSP00000456521;ENSP00000456888;ENSP00000457785;ENSP00000458739;ENSP00000461006	2.217951637	0.02116024
P21589;P21589-2;Q96B60;H0Y7R7	5-nucleotidase	NT5E	ENSG00000135318	ENSP00000257770;ENSP00000358660;ENSP00000358665;ENSP00000387630;ENSP00000414674	1.095780584	0.162830936
P21730	C5a anaphylatoxin chemotactic receptor 1	C5AR1	ENSG00000197405	ENSP00000347197;ENSP00000470613	7.410965119	1.72E-06
P21796;C9JI87	Voltage-dependent anion-selective channel protein 1	VDAC1	ENSG00000213585	ENSP00000265333;ENSP00000378484;ENSP00000378487;ENSP00000390129	3.204244853	0.00333665
P22557;H0Y6R3;P22557-3;P22557-2;P22557-4	5-aminolevulinate synthase, erythroid-specific, mitochondrial	ALAS2	ENSG00000158578	ENSP00000332369;ENSP00000337131;ENSP00000379501;ENSP00000407204	2.613568922	0.010008953
P22748;K7EKY5;K7ENI8;K7EIH9;P22748-2	Carbonic anhydrase 4	CA4	ENSG00000167434	ENSP00000300900;ENSP00000464757;ENSP00000465837;ENSP00000466964;ENSP00000467465	3.607323144	0.00161625
P22830;P22830-2;K7ELX4;K7EJX5;K7EKP7;K7EPN2;K7EJM8	Ferrochelatase, mitochondrial	FECH	ENSG00000066926	ENSP00000262093;ENSP00000372326;ENSP00000465243;ENSP00000465363;ENSP00000465717;ENSP00000466263;ENSP00000467461	2.425318667	0.014247873
P23276;E7ETW3;E9PHG0;H0Y8A1	Kell blood group glycoprotein	KEL	ENSG00000197993;ENSG00000276615;ENSG00000197993	ENSP00000347409;ENSP00000477793;ENSP00000418886;ENSP00000419889;ENSP00000420011	3.467217297	0.002090914
P23458;O60674	Tyrosine-protein kinase JAK1	JAK1	ENSG00000096968;ENSG00000162434	ENSP00000371067;ENSP00000343204	4.334846191	0.000408881
U3KPS2;P24158	Myeloblastin	PRTN3	ENSG00000196415;ENSG00000277804;ENSG00000196415	ENSP00000234347;ENSP00000478977;ENSP00000475174	5.00475514	0.000113998
P24311	Cytochrome c oxidase subunit 7B, mitochondrial	COX7B	ENSG00000131174	ENSP00000417656	1.430899293	0.090748137
P24539;Q5QNZ2	ATP synthase F(0) complex subunit B1, mitochondrial	ATP5F1	ENSG00000116459	ENSP00000358737;ENSP00000420366	2.391345087	0.015216984
Q53F23;P24557-2;P24557;A0A0A0MSK3;A0A0C4DH47;P24557-4;P24557-3;C9JS68;B7Z6W1	Thromboxane-A synthase	TBXAS1	ENSG00000059377	ENSP00000263552;ENSP00000338087;ENSP00000388612;ENSP00000388736;ENSP00000389414;ENSP00000391567;ENSP00000392702;ENSP00000402536;ENSP00000411274;ENSP00000411326;ENSP00000412710;ENSP00000415892	2.920710091	0.005519563
P24752;H0YEL7;E9PRQ6;P24752-2	Acetyl-CoA acetyltransferase, mitochondrial	ACAT1	ENSG00000075239	ENSP00000265838;ENSP00000299355;ENSP00000433568;ENSP00000435965;ENSP00000436096	4.121969626	0.000619423
P25024	C-X-C chemokine receptor type 1	CXCR1	ENSG00000163464	ENSP00000295683	3.447902571	0.002149812
P25025	C-X-C chemokine receptor type 2	CXCR2	ENSG00000180871	ENSP00000319635;ENSP00000392348;ENSP00000392698;ENSP00000410506;ENSP00000413686;ENSP00000415148;ENSP00000416815	2.977978304	0.004975892
P25705;P25705-2;P25705-3;K7EK77;K7ERX7;K7EJP1;K7ENJ4;K7EQH4;K7ESA0	ATP synthase subunit alpha, mitochondrial	ATP5A1	ENSG00000152234	ENSP00000282050;ENSP00000381736;ENSP00000465259;ENSP00000465477;ENSP00000465497;ENSP00000465805;ENSP00000466275;ENSP00000466309;ENSP00000466975;ENSP00000467037;ENSP00000467830;ENSP00000467983;ENSP00000468458;ENSP00000468618	2.544984367	0.011336007
P25815	Protein S100-P	S100P	ENSG00000163993	ENSP00000296370	6.818845383	4.74E-06
P27487	Dipeptidyl peptidase 4;Dipeptidyl peptidase 4 membrane form;Dipeptidyl peptidase 4 soluble form	DPP4	ENSG00000197635	ENSP00000353731;ENSP00000401359;ENSP00000402259;ENSP00000410264;ENSP00000486421	0.323332217	0.610390659
P27701-2;P27701;E9PJC7;H0YD57	CD82 antigen	CD82	ENSG00000085117	ENSP00000227155;ENSP00000339686;ENSP00000431767;ENSP00000433036;ENSP00000433151;ENSP00000433788;ENSP00000433804;ENSP00000435661;ENSP00000435682;ENSP00000436403	0.689097861	0.337170684
P28289;P28289-2;Q9NZQ9-2;Q9NZQ9	Tropomodulin-1	TMOD1	ENSG00000136842;ENSG00000163157	ENSP00000259365;ENSP00000364318;ENSP00000378637;ENSP00000295314;ENSP00000406333;ENSP00000468006;ENSP00000468489	3.009151124	0.004692186
P28838-2;P28838;H0Y9Q1;H0Y983	Cytosol aminopeptidase	LAP3	ENSG00000002549	ENSP00000226299;ENSP00000423350;ENSP00000424724;ENSP00000476028;ENSP00000481000	1.905798742	0.037827707
P28907;H0Y950;P28907-2	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	CD38	ENSG00000004468	ENSP00000226279;ENSP00000423047;ENSP00000427277	8.240883541	4.75E-07
P29401;P29401-2;A0A0B4J1R6;E9PFF2;F8W888;F8WAX4	Transketolase	TKT	ENSG00000163931	ENSP00000296289;ENSP00000391481;ENSP00000405455;ENSP00000413503;ENSP00000417312;ENSP00000417773;ENSP00000418340	2.73599912	0.007813886
